Datasets		SelfTrainingFiltered		
abalone		0,2566	0,0102	
appendicitis		0,8121	0,0249	
australian		0,8304	0,0222	
automobile		0,4201	0,0564	
balance		0,7241	0,0346	
banana		0,8572	0,0255	
bands		0,6513	0,0267	
breast		0,7164	0,0106	
bupa		0,5877	0,0498	
car		0,7840	0,0201	
chess		0,9572	0,0099	
cleveland		0,5472	0,0402	
contraceptive		0,4928	0,0319	
crx		0,8483	0,0245	
dermatology		0,8777	0,0433	
ecoli		0,6497	0,0368	
flare		0,7262	0,0166	
german		0,6953	0,0202	
glass		0,5334	0,0258	
haberman		0,7171	0,0398	
hayes-roth		0,5639	0,0696	
heart		0,7436	0,0485	
hepatitis		0,8203	0,0477	
housevotes		0,9512	0,0379	
ionosphere		0,8193	0,0569	
iris		0,8326	0,0385	
led7digit		0,6138	0,0420	
letter		0,7201	0,0074	
lymphography		0,6737	0,0504	
magic		0,8257	0,0051	
mammographic		0,8030	0,0370	
marketing		0,3197	0,0049	
monk-2		0,9722	0,0030	
movement_libras		0,2777	0,0254	
mushroom		0,9958	0,0038	
newthyroid		0,8360	0,0672	
nursery		0,9085	0,0059	
optdigits		0,8188	0,0094	
page-blocks		0,9558	0,0067	
penbased		0,9045	0,0063	
phoneme		0,7897	0,0177	
pima		0,6743	0,0519	
post-operative		0,6475	0,1014	
ring		0,8451	0,0087	
saheart		0,6604	0,0392	
satimage		0,8244	0,0123	
segment		0,9067	0,0110	
sonar		0,6512	0,0515	
spambase		0,8770	0,0116	
spectfheart		0,7207	0,0586	
splice		0,8180	0,0226	
tae		0,4275	0,0604	
texture		0,8480	0,0093	
thyroid		0,9913	0,0028	
tic-tac-toe		0,7049	0,0239	
titanic		0,7783	0,0047	
twonorm		0,8242	0,0042	
vehicle		0,6353	0,0288	
vowel		0,4561	0,0431	
wdbc		0,8904	0,0290	
wine		0,7977	0,0655	
wisconsin		0,9245	0,0224	
yeast		0,5215	0,0248	
zoo		0,7546	0,0485	
