Datasets		SelfTrainingFiltered		
abalone		0,1658	0,0121	
appendicitis		0,1104	0,2222	
australian		0,6530	0,0452	
automobile		0,2385	0,0721	
balance		0,5003	0,0585	
banana		0,7080	0,0544	
bands		0,1896	0,0586	
breast		0,1355	0,0953	
bupa		0,1725	0,0705	
car		0,5252	0,0675	
chess		0,9142	0,0200	
cleveland		0,2876	0,0457	
contraceptive		0,2069	0,0461	
crx		0,6957	0,0551	
dermatology		0,8459	0,0547	
ecoli		0,5069	0,0579	
flare		0,6468	0,0215	
german		0,0978	0,0902	
glass		0,3379	0,0411	
haberman		0,1768	0,1265	
hayes-roth		0,3222	0,0943	
heart		0,4786	0,1040	
hepatitis		0,0251	0,0754	
housevotes		0,9017	0,0772	
ionosphere		0,5932	0,1225	
iris		0,7489	0,0578	
led7digit		0,5709	0,0466	
letter		0,7089	0,0077	
lymphography		0,3604	0,1036	
magic		0,6019	0,0129	
mammographic		0,6062	0,0724	
marketing		0,2198	0,0059	
monk-2		0,9444	0,0059	
movement_libras		0,2261	0,0271	
mushroom		0,9911	0,0081	
newthyroid		0,6145	0,1730	
nursery		0,8647	0,0085	
optdigits		0,7987	0,0104	
page-blocks		0,7451	0,0500	
penbased		0,8939	0,0070	
phoneme		0,4943	0,0447	
pima		0,2989	0,0780	
post-operative		0,0105	0,0461	
ring		0,6901	0,0175	
saheart		0,2403	0,0736	
satimage		0,7823	0,0149	
segment		0,8912	0,0129	
sonar		0,2863	0,1051	
spambase		0,7404	0,0245	
spectfheart		0,2019	0,1330	
splice		0,6995	0,0423	
tae		0,1432	0,0928	
texture		0,8328	0,0103	
thyroid		0,9379	0,0216	
tic-tac-toe		0,2778	0,1001	
titanic		0,4193	0,0245	
twonorm		0,6484	0,0084	
vehicle		0,5137	0,0385	
vowel		0,4017	0,0474	
wdbc		0,7667	0,0570	
wine		0,6959	0,0993	
wisconsin		0,8317	0,0538	
yeast		0,3719	0,0312	
zoo		0,6773	0,0629	
